orderID,productID,unitPrice,quantity,discount
10808,56,38.00,20,0.15
10808,76,18.00,50,0.15
10809,52,7.00,20,0
10810,13,6.00,7,0
10810,25,14.00,5,0
10810,70,15.00,5,0
10811,19,9.20,15,0
10811,23,9.00,18,0
10811,40,18.40,30,0
10812,31,12.50,16,0.1
10812,72,34.80,40,0.1
10812,77,13.00,20,0
10813,2,19.00,12,0.2
10813,46,12.00,35,0
10814,41,9.65,20,0
10814,43,46.00,20,0.15
10814,48,12.75,8,0.15
10814,61,28.50,30,0.15
10815,33,2.50,16,0
10816,38,263.50,30,0.05
10816,62,49.30,20,0.05
10817,26,31.23,40,0.15
10817,38,263.50,30,0
10817,40,18.40,60,0.15
10817,62,49.30,25,0.15
10818,32,32.00,20,0
10818,41,9.65,20,0
10819,43,46.00,7,0
10819,75,7.75,20,0
10820,56,38.00,30,0
10821,35,18.00,20,0
10821,51,53.00,6,0
10822,62,49.30,3,0
10822,70,15.00,6,0
10823,11,21.00,20,0.1
10823,57,19.50,15,0
10823,59,55.00,40,0.1
10823,77,13.00,15,0.1
10824,41,9.65,12,0
10824,70,15.00,9,0
10825,26,31.23,12,0
10825,53,32.80,20,0
10826,31,12.50,35,0
10826,57,19.50,15,0
10827,10,31.00,15,0
10827,39,18.00,21,0
10828,20,81.00,5,0
10828,38,263.50,2,0
10829,2,19.00,10,0
10829,8,40.00,20,0
10829,13,6.00,10,0
10829,60,34.00,21,0
10830,6,25.00,6,0
10830,39,18.00,28,0
10830,60,34.00,30,0
10830,68,12.50,24,0
10831,19,9.20,2,0
10831,35,18.00,8,0
10831,38,263.50,8,0
10831,43,46.00,9,0
10832,13,6.00,3,0.2
10832,25,14.00,10,0.2
10832,44,19.45,16,0.2
10832,64,33.25,3,0
10833,7,30.00,20,0.1
10833,31,12.50,9,0.1
10833,53,32.80,9,0.1
10834,29,123.79,8,0.05
10834,30,25.89,20,0.05
10835,59,55.00,15,0
10835,77,13.00,2,0.2
10836,22,21.00,52,0
10836,35,18.00,6,0
10836,57,19.50,24,0
10836,60,34.00,60,0
10836,64,33.25,30,0
10837,13,6.00,6,0
10837,40,18.40,25,0
10837,47,9.50,40,0.25
10837,76,18.00,21,0.25
10838,1,18.00,4,0.25
10838,18,62.50,25,0.25
10838,36,19.00,50,0.25
10839,58,13.25,30,0.1
10839,72,34.80,15,0.1
10840,25,14.00,6,0.2
10840,39,18.00,10,0.2
10841,10,31.00,16,0
10841,56,38.00,30,0
10841,59,55.00,50,0
10841,77,13.00,15,0
10842,11,21.00,15,0
10842,43,46.00,5,0
10842,68,12.50,20,0
10842,70,15.00,12,0
10843,51,53.00,4,0.25
10844,22,21.00,35,0
10845,23,9.00,70,0.1
10845,35,18.00,25,0.1
10845,42,14.00,42,0.1
10845,58,13.25,60,0.1
10845,64,33.25,48,0
10846,4,22.00,21,0
10846,70,15.00,30,0
10846,74,10.00,20,0
10847,1,18.00,80,0.2
10847,19,9.20,12,0.2
10847,37,26.00,60,0.2
10847,45,9.50,36,0.2
10847,60,34.00,45,0.2
10847,71,21.50,55,0.2
10848,5,21.35,30,0
10848,9,97.00,3,0
10849,3,10.00,49,0
10849,26,31.23,18,0.15
10850,25,14.00,20,0.15
10850,33,2.50,4,0.15
10850,70,15.00,30,0.15
10851,2,19.00,5,0.05
10851,25,14.00,10,0.05
10851,57,19.50,10,0.05
10851,59,55.00,42,0.05
10852,2,19.00,15,0
10852,17,39.00,6,0
10852,62,49.30,50,0
10853,18,62.50,10,0
10854,10,31.00,100,0.15
10854,13,6.00,65,0.15
10855,16,17.45,50,0
10855,31,12.50,14,0
10855,56,38.00,24,0
10855,65,21.05,15,0.15
10856,2,19.00,20,0
10856,42,14.00,20,0
10857,3,10.00,30,0
10857,26,31.23,35,0.25
10857,29,123.79,10,0.25
10858,7,30.00,5,0
10858,27,43.90,10,0
10858,70,15.00,4,0
10859,24,4.50,40,0.25
10859,54,7.45,35,0.25
10859,64,33.25,30,0.25
10860,51,53.00,3,0
10860,76,18.00,20,0
10861,17,39.00,42,0
10861,18,62.50,20,0
10861,21,10.00,40,0
10861,33,2.50,35,0
10861,62,49.30,3,0
10862,11,21.00,25,0
10862,52,7.00,8,0
10863,1,18.00,20,0.15
10863,58,13.25,12,0.15
10864,35,18.00,4,0
10864,67,14.00,15,0
10865,38,263.50,60,0.05
10865,39,18.00,80,0.05
10866,2,19.00,21,0.25
10866,24,4.50,6,0.25
10866,30,25.89,40,0.25
10867,53,32.80,3,0
10868,26,31.23,20,0
10868,35,18.00,30,0
10868,49,20.00,42,0.1
10869,1,18.00,40,0
10869,11,21.00,10,0
10869,23,9.00,50,0
10869,68,12.50,20,0
10870,35,18.00,3,0
10870,51,53.00,2,0
10871,6,25.00,50,0.05
10871,16,17.45,12,0.05
10871,17,39.00,16,0.05
10872,55,24.00,10,0.05
10872,62,49.30,20,0.05
10872,64,33.25,15,0.05
10872,65,21.05,21,0.05
10873,21,10.00,20,0
10873,28,45.60,3,0
10874,10,31.00,10,0
10875,19,9.20,25,0
10875,47,9.50,21,0.1
10875,49,20.00,15,0
10876,46,12.00,21,0
10876,64,33.25,20,0
10877,16,17.45,30,0.25
10877,18,62.50,25,0
10878,20,81.00,20,0.05
10879,40,18.40,12,0
10879,65,21.05,10,0
10879,76,18.00,10,0
10880,23,9.00,30,0.2
10880,61,28.50,30,0.2
10880,70,15.00,50,0.2
10881,73,15.00,10,0
10882,42,14.00,25,0
10882,49,20.00,20,0.15
10882,54,7.45,32,0.15
10883,24,4.50,8,0
10884,21,10.00,40,0.05
10884,56,38.00,21,0.05
10884,65,21.05,12,0.05
10885,2,19.00,20,0
10885,24,4.50,12,0
10885,70,15.00,30,0
10885,77,13.00,25,0
10886,10,31.00,70,0
10886,31,12.50,35,0
10886,77,13.00,40,0
10887,25,14.00,5,0
10888,2,19.00,20,0
10888,68,12.50,18,0
10889,11,21.00,40,0
10889,38,263.50,40,0
10890,17,39.00,15,0
10890,34,14.00,10,0
10890,41,9.65,14,0
10891,30,25.89,15,0.05
10892,59,55.00,40,0.05
10893,8,40.00,30,0
10893,24,4.50,10,0
10893,29,123.79,24,0
10893,30,25.89,35,0
10893,36,19.00,20,0
10894,13,6.00,28,0.05
10894,69,36.00,50,0.05
10894,75,7.75,120,0.05
10895,24,4.50,110,0
10895,39,18.00,45,0
10895,40,18.40,91,0
10895,60,34.00,100,0
10896,45,9.50,15,0
10896,56,38.00,16,0
10897,29,123.79,80,0
10897,30,25.89,36,0
10898,13,6.00,5,0
10899,39,18.00,8,0.15
10900,70,15.00,3,0.25
10901,41,9.65,30,0
10901,71,21.50,30,0
10902,55,24.00,30,0.15
10902,62,49.30,6,0.15
10903,13,6.00,40,0
10903,65,21.05,21,0
10903,68,12.50,20,0
10904,58,13.25,15,0
10904,62,49.30,35,0
10905,1,18.00,20,0.05
10906,61,28.50,15,0
10907,75,7.75,14,0
10908,7,30.00,20,0.05
10908,52,7.00,14,0.05
10909,7,30.00,12,0
10909,16,17.45,15,0
10909,41,9.65,5,0
10910,19,9.20,12,0
10910,49,20.00,10,0
10910,61,28.50,5,0
10911,1,18.00,10,0
10911,17,39.00,12,0
10911,67,14.00,15,0
10912,11,21.00,40,0.25
10912,29,123.79,60,0.25
10913,4,22.00,30,0.25
10913,33,2.50,40,0.25
10913,58,13.25,15,0
10914,71,21.50,25,0
10915,17,39.00,10,0
10915,33,2.50,30,0
10915,54,7.45,10,0
10916,16,17.45,6,0
10916,32,32.00,6,0
10916,57,19.50,20,0
10917,30,25.89,1,0
10917,60,34.00,10,0
10918,1,18.00,60,0.25
10918,60,34.00,25,0.25
10919,16,17.45,24,0
10919,25,14.00,24,0
10919,40,18.40,20,0
10920,50,16.25,24,0
10921,35,18.00,10,0
10921,63,43.90,40,0
10922,17,39.00,15,0
10922,24,4.50,35,0
10923,42,14.00,10,0.2
10923,43,46.00,10,0.2
10923,67,14.00,24,0.2
10924,10,31.00,20,0.1
10924,28,45.60,30,0.1
10924,75,7.75,6,0
10925,36,19.00,25,0.15
10925,52,7.00,12,0.15
10926,11,21.00,2,0
10926,13,6.00,10,0
10926,19,9.20,7,0
10926,72,34.80,10,0
10927,20,81.00,5,0
10927,52,7.00,5,0
10927,76,18.00,20,0
10928,47,9.50,5,0
10928,76,18.00,5,0
10929,21,10.00,60,0
10929,75,7.75,49,0
10929,77,13.00,15,0
10930,21,10.00,36,0
10930,27,43.90,25,0
10930,55,24.00,25,0.2
10930,58,13.25,30,0.2
10931,13,6.00,42,0.15
10931,57,19.50,30,0
10932,16,17.45,30,0.1
10932,62,49.30,14,0.1
10932,72,34.80,16,0
10932,75,7.75,20,0.1
10933,53,32.80,2,0
10933,61,28.50,30,0
10934,6,25.00,20,0
10935,1,18.00,21,0
10935,18,62.50,4,0.25
10935,23,9.00,8,0.25
10936,36,19.00,30,0.2
10937,28,45.60,8,0
10937,34,14.00,20,0
10938,13,6.00,20,0.25
10938,43,46.00,24,0.25
