orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10808,XXXXX,2,1998-01-01 00:00:00.000,1998-01-29 00:00:00.000,1998-01-09 00:00:00.000,3,45.53,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10809,WELLI,7,1998-01-01 00:00:00.000,1998-01-29 00:00:00.000,1998-01-07 00:00:00.000,1,4.87,Wellington Importadora,Rua do Mercado 12,Resende,SP,08737-363,Brazil
10810,LAUGB,2,1998-01-01 00:00:00.000,1998-01-29 00:00:00.000,1998-01-07 00:00:00.000,3,4.33,Laughing Bacchus Wine Cellars,2319 Elm St.,Vancouver,BC,V3F 2K1,Canada
10811,LINOD,8,1998-01-02 00:00:00.000,1998-01-30 00:00:00.000,1998-01-08 00:00:00.000,1,31.22,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10812,REGGC,5,1998-01-02 00:00:00.000,1998-01-30 00:00:00.000,1998-01-12 00:00:00.000,1,59.78,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy
10813,RICAR,1,1998-01-05 00:00:00.000,1998-02-02 00:00:00.000,1998-01-09 00:00:00.000,1,47.38,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10814,VICTE,3,1998-01-05 00:00:00.000,1998-02-02 00:00:00.000,1998-01-14 00:00:00.000,3,130.94,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France
10815,SAVEA,2,1998-01-05 00:00:00.000,1998-02-02 00:00:00.000,1998-01-14 00:00:00.000,3,14.62,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10816,GREAL,4,1998-01-06 00:00:00.000,1998-02-03 00:00:00.000,1998-02-04 00:00:00.000,2,719.78,Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA
10817,KOENE,3,1998-01-06 00:00:00.000,1998-01-20 00:00:00.000,1998-01-13 00:00:00.000,2,306.07,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
